Kelime;Türkçe Anlamı;V1 (Yalın Hali);V2 (Geçmiş Zaman);V3 (Sıfat Fiil)
speak;konuşmak;speak;spoke;spoken
speaker;konuşmacı;-;-;-
special;özel;-;-;-
specialist;uzman;-;-;-
species;tür (biyolojik);-;-;-
specific;belirli, özgül;-;-;-
specifically;özellikle, açıkça;-;-;-
speech;konuşma (nutuk);-;-;-
speed;hız, hızlanmak;speed;sped;sped
spell;hecelemek;spell;spelled/spelt;spelled/spelt
spelling;heceleme, yazım;-;-;-
spend;harcamak;spend;spent;spent
spending;harcama;-;-;-
spicy;baharatlı;-;-;-
spider;örümcek;-;-;-
spirit;ruh, tin;-;-;-
spiritual;manevi;-;-;-
split;bölmek, ayırmak;split;split;split
spoken;sözlü;-;-;-
sponsor;sponsor, sponsor olmak;sponsor;sponsored;sponsored
spoon;kaşık;-;-;-
sport;spor;-;-;-
spot;nokta, leke, fark etmek;spot;spotted;spotted
spread;yaymak;spread;spread;spread
spring;bahar, yay, fırlamak;spring;sprang;sprung
square;kare, meydan;-;-;-
stable;kararlı, ahır;-;-;-
stadium;stadyum;-;-;-
staff;personel;-;-;-
stage;sahne, aşama;stage;staged;staged
stair;merdiven basamağı;-;-;-
stamp;pul, damga;-;-;-
stand;ayakta durmak;stand;stood;stood
standard;standart;-;-;-
star;yıldız, başrol oynamak;star;starred;starred
stare;dik dik bakmak;stare;stared;stared
start;başlamak;start;started;started
state;eyalet, devlet, belirtmek;state;stated;stated
statement;ifade, açıklama;-;-;-
station;istasyon;-;-;-
statistic;istatistik;-;-;-
statue;heykel;-;-;-
status;statü, durum;-;-;-
stay;kalmak;stay;stayed;stayed
steady;sabit, istikrarlı;-;-;-
steal;çalmak (hırsızlık);steal;stole;stolen
steel;çelik;-;-;-
steep;dik (eğim);-;-;-
step;adım, adım atmak;step;stepped;stepped
stick (attach);yapıştırmak, sokmak;stick;stuck;stuck
stick (wood);değnek;-;-;-
sticky;yapışkan;-;-;-
stiff;katı, sert (kas);-;-;-
still;hala, durgun;-;-;-
stock;stok, hisse senedi;stock;stocked;stocked
stomach;mide;-;-;-
stone;taş;-;-;-
stop;durmak, durdurmak;stop;stopped;stopped
store;mağaza, depolamak;store;stored;stored
storm;fırtına;-;-;-
story;hikaye;-;-;-
straight;düz;-;-;-
strange;garip;-;-;-
stranger;yabancı (kişi);-;-;-
strategy;strateji;-;-;-
stream;dere, akış;-;-;-
street;sokak;-;-;-
strength;güç, kuvvet;-;-;-
stress;stres, vurgulamak;stress;stressed;stressed
stretch;germek, uzanmak;stretch;stretched;stretched
strict;katı, sıkı;-;-;-
strike;grev, vurmak;strike;struck;struck
string;ip, sicim;-;-;-
strong;güçlü;-;-;-
strongly;güçlü bir şekilde;-;-;-
structure;yapı;structure;structured;structured
struggle;mücadele etmek;struggle;struggled;struggled
student;öğrenci;-;-;-
studio;stüdyo;-;-;-
study;çalışmak, ders çalışmak;study;studied;studied
stuff;eşya, şeyler;stuff;stuffed;stuffed
stupid;aptal;-;-;-
style;stil;-;-;-
subject;konu, ders;-;-;-
submit;sunmak, teslim etmek;submit;submitted;submitted
substance;madde;-;-;-
succeed;başarmak;succeed;succeeded;succeeded
success;başarı;-;-;-
successful;başarılı;-;-;-
successfully;başarılı bir şekilde;-;-;-
such;böyle, öyle;-;-;-
sudden;ani;-;-;-
suddenly;aniden;-;-;-
suffer;acı çekmek;suffer;suffered;suffered
sugar;şeker;-;-;-
suggest;önermek;suggest;suggested;suggested
suggestion;öneri;-;-;-
suit;takım elbise, uymak;suit;suited;suited
suitable;uygun;-;-;-
sum;toplam;sum;summed;summed
summarize;özetlemek;summarize;summarized;summarized
summary;özet;-;-;-
summer;yaz;-;-;-
sun;güneş;-;-;-
Sunday;Pazar;-;-;-
supermarket;süpermarket;-;-;-
supply;tedarik, tedarik etmek;supply;supplied;supplied
support;destek, desteklemek;support;supported;supported
supporter;destekçi, taraftar;-;-;-
suppose;varsaymak, sanmak;suppose;supposed;supposed
sure;emin;-;-;-
surely;kesinlikle;-;-;-
surface;yüzey;-;-;-
surgery;ameliyat;-;-;-
surprise;sürpriz, şaşırtmak;surprise;surprised;surprised
surprised;şaşırmış;-;-;-
surprising;şaşırtıcı;-;-;-
surround;çevrelemek;surround;surrounded;surrounded
surrounding;çevreleyen;-;-;-
survey;anket, incelemek;survey;surveyed;surveyed
survive;hayatta kalmak;survive;survived;survived
suspect;şüphelenmek, şüpheli;suspect;suspected;suspected
swear;yemin etmek, küfretmek;swear;swore;sworn
sweater;kazak;-;-;-
sweep;süpürmek;sweep;swept;swept
sweet;tatlı;-;-;-
swim;yüzmek;swim;swam;swum
swimming;yüzme;-;-;-
switch;anahtar (elektrik), değiştirmek;switch;switched;switched
symbol;sembol;-;-;-
sympathy;sempati, üzüntü paylaşma;-;-;-
symptom;belirti;-;-;-
system;sistem;-;-;-
table;masa;-;-;-
tablet;tablet, hap;-;-;-
tail;kuyruk;-;-;-
take;almak;take;took;taken
tale;masal, hikaye;-;-;-
talent;yetenek;-;-;-
talented;yetenekli;-;-;-
talk;konuşmak;talk;talked;talked
tall;uzun boylu;-;-;-
tank;tank, depo;-;-;-
tape;bant, kayıt yapmak;tape;taped;taped
target;hedef, hedeflemek;target;targeted;targeted
task;görev;-;-;-
taste;tat, tatmak;taste;tasted;tasted
tax;vergi, vergilendirmek;tax;taxed;taxed
taxi;taksi;-;-;-
tea;çay;-;-;-
teach;öğretmek;teach;taught;taught
teacher;öğretmen;-;-;-
teaching;öğretme;-;-;-
team;takım;-;-;-
tear1;yırtmak;tear;tore;torn
tear2;gözyaşı;-;-;-
technical;teknik;-;-;-
technique;teknik (yöntem);-;-;-
technology;teknoloji;-;-;-
teenage;genç (ergen);-;-;-
teenager;genç, ergen;-;-;-
telephone;telefon, telefon etmek;telephone;telephoned;telephoned
television;televizyon;-;-;-
tell;söylemek, anlatmak;tell;told;told
temperature;sıcaklık;-;-;-
temporary;geçici;-;-;-
ten;on;-;-;-
tend;eğiliminde olmak;tend;tended;tended
tennis;tenis;-;-;-
tent;çadır;-;-;-
term;dönem, terim;term;termed;termed
terrible;korkunç, berbat;-;-;-
test;test, sınamak;test;tested;tested
text;metin, mesaj atmak;text;texted;texted
than;-den;-;-;-
thank;teşekkür etmek;thank;thanked;thanked
thanks;teşekkürler;-;-;-
that;o, şu;-;-;-
the;belirli tanım edatı;-;-;-
theatre;tiyatro;-;-;-
their;onların;-;-;-
theirs;onlarınki;-;-;-
them;onları;-;-;-
theme;tema;-;-;-
themselves;kendileri;-;-;-
then;sonra, o zaman;-;-;-
theory;teori;-;-;-
therapy;terapi;-;-;-
there;orada;-;-;-
therefore;bu nedenle;-;-;-
they;onlar;-;-;-
thick;kalın;-;-;-
thief;hırsız;-;-;-
thin;ince, zayıf;-;-;-
thing;şey;-;-;-
think;düşünmek;think;thought;thought
thinking;düşünme;-;-;-
third;üçüncü;-;-;-
thirsty;susamış;-;-;-
thirteen;on üç;-;-;-
thirty;otuz;-;-;-
this;bu;-;-;-
though;-e rağmen, ama;-;-;-
thought;düşünce;-;-;-
thousand;bin;-;-;-
threat;tehdit;-;-;-
threaten;tehdit etmek;threaten;threatened;threatened
three;üç;-;-;-
throat;boğaz;-;-;-
through;-den geçerek, boyunca;-;-;-
throughout;boyunca, her yerinde;-;-;-
throw;atmak;throw;threw;thrown
Thursday;Perşembe;-;-;-
thus;böylece;-;-;-
ticket;bilet;-;-;-
tidy;düzenli, düzenlemek;tidy;tidied;tidied
tie;bağlamak, kravat;tie;tied;tied
tight;sıkı, dar;-;-;-
till;-e kadar;-;-;-
time;zaman, zamanlamak;time;timed;timed
tin;teneke;-;-;-
tiny;minik;-;-;-
tip;bahşiş, uç, ipucu;tip;tipped;tipped
tired;yorgun;-;-;-
title;başlık, unvan;title;titled;titled
to;-e, -a;-;-;-
today;bugün;-;-;-
toe;ayak parmağı;-;-;-
together;birlikte;-;-;-
toilet;tuvalet;-;-;-
tomato;domates;-;-;-
tomorrow;yarın;-;-;-
tone;ton (ses/renk);-;-;-
tongue;dil (organ);-;-;-
tonight;bu gece;-;-;-
too;de, da, çok fazla;-;-;-
tool;alet;-;-;-
tooth;diş;-;-;-
top;üst, tepe;-;-;-
topic;konu;-;-;-
total;toplam;-;-;-
totally;tamamen;-;-;-
touch;dokunmak;touch;touched;touched
tough;zorlu, sert;-;-;-
tour;tur, gezi;tour;toured;toured
tourism;turizm;-;-;-
tourist;turist;-;-;-
towards;-e doğru;-;-;-
towel;havlu;-;-;-
tower;kule;-;-;-
town;kasaba, şehir;-;-;-
toy;oyuncak;-;-;-
track;iz, parça (müzik);track;tracked;tracked
trade;ticaret, ticaret yapmak;trade;traded;traded
tradition;gelenek;-;-;-
traditional;geleneksel;-;-;-
traffic;trafik;-;-;-
train;tren, eğitmek;train;trained;trained
trainer;antrenör, eğitmen;-;-;-
training;eğitim, antrenman;-;-;-
transfer;transfer etmek, aktarmak;transfer;transferred;transferred
transform;dönüştürmek;transform;transformed;transformed
transition;geçiş;-;-;-
translate;çevirmek;translate;translated;translated
translation;çeviri;-;-;-
transport;ulaşım, taşımak;transport;transported;transported
travel;seyahat etmek;travel;travelled;travelled
traveller;gezgin;-;-;-
treat;davranmak, tedavi etmek;treat;treated;treated
treatment;tedavi;-;-;-
tree;ağaç;-;-;-
trend;eğilim, trend;-;-;-
trial;deneme, dava;-;-;-
trick;numara, hile yapmak;trick;tricked;tricked
trip;gezi, seyahat;trip;tripped;tripped
tropical;tropikal;-;-;-
trouble;sorun, dert;trouble;troubled;troubled
trousers;pantolon;-;-;-
truck;kamyon;-;-;-
true;doğru, gerçek;-;-;-
truly;gerçekten;-;-;-
trust;güven, güvenmek;trust;trusted;trusted
truth;gerçek;-;-;-
try;denemek;try;tried;tried
T-shirt;tişört;-;-;-
tube;tüp;-;-;-
Tuesday;Salı;-;-;-
tune;melodi;-;-;-
tunnel;tünel;-;-;-
turn;dönmek, döndürmek;turn;turned;turned
TV;televizyon;-;-;-
twelve;on iki;-;-;-
twenty;yirmi;-;-;-
twice;iki kez;-;-;-
twin;ikiz;-;-;-
two;iki;-;-;-
type;tür, yazmak (klavye);type;typed;typed
typical;tipik;-;-;-
typically;tipik olarak;-;-;-
tyre;lastik (araba);-;-;-
ugly;çirkin;-;-;-
ultimately;nihayetinde;-;-;-
umbrella;şemsiye;-;-;-
unable;yapamayan;-;-;-
uncle;amca, dayı;-;-;-
uncomfortable;rahatsız;-;-;-
unconscious;bilinçsiz;-;-;-
under;altında;-;-;-
underground;yeraltı;-;-;-
understand;anlamak;understand;understood;understood
understanding;anlayış;-;-;-
underwear;iç çamaşırı;-;-;-
unemployed;işsiz;-;-;-
unemployment;işsizlik;-;-;-
unexpected;beklenmedik;-;-;-
unfair;adaletsiz;-;-;-
unfortunately;maalesef;-;-;-
unhappy;mutsuz;-;-;-
uniform;üniforma;-;-;-
union;sendika, birlik;-;-;-
unique;eşsiz;-;-;-
unit;birim;-;-;-
united;birleşik;-;-;-
universe;evren;-;-;-
university;üniversite;-;-;-
unknown;bilinmeyen;-;-;-
unless;-mediği sürece;-;-;-
unlike;-den farklı;-;-;-
unlikely;olası olmayan;-;-;-
unnecessary;gereksiz;-;-;-
unpleasant;nahoş;-;-;-
until;-e kadar;-;-;-
unusual;olağandışı;-;-;-
up;yukarı;-;-;-
update;güncellemek, güncelleme;update;updated;updated
upon;üzerine;-;-;-
upper;üst (kısım);-;-;-
upset;üzgün, üzmek;upset;upset;upset
upstairs;üst kat;-;-;-
upwards;yukarı doğru;-;-;-
urban;kentsel;-;-;-
urge;ısrar etmek, teşvik etmek;urge;urged;urged
us;bizi, bize;-;-;-
use;kullanmak;use;used;used
used1;kullanılmış;-;-;-
used2;alışkın;-;-;-
used to;eskiden ... -irdi;-;-;-
useful;faydalı;-;-;-
user;kullanıcı;-;-;-
usual;olağan, her zamanki;-;-;-
usually;genellikle;-;-;-
vacation;tatil;-;-;-
valley;vadi;-;-;-
valuable;değerli;-;-;-
value;değer, değer vermek;value;valued;valued
van;kamyonet;-;-;-
variety;çeşitlilik;-;-;-
various;çeşitli;-;-;-
vary;çeşitlilik göstermek;vary;varied;varied
vast;çok geniş;-;-;-
vegetable;sebze;-;-;-
vehicle;araç;-;-;-
venue;mekan (etkinlik);-;-;-
version;versiyon;-;-;-
very;çok;-;-;-
via;üzerinden;-;-;-
victim;kurban;-;-;-
victory;zafer;-;-;-
video;video;-;-;-
view;görünüm, görüş;view;viewed;viewed
viewer;izleyici;-;-;-
village;köy;-;-;-
violence;şiddet;-;-;-
violent;şiddetli;-;-;-
virtual;sanal;-;-;-
virus;virüs;-;-;-
vision;görü, vizyon;-;-;-
visit;ziyaret etmek;visit;visited;visited
visitor;ziyaretçi;-;-;-
visual;görsel;-;-;-
vital;hayati;-;-;-
vitamin;vitamin;-;-;-
voice;ses;-;-;-
volume;hacim, ses düzeyi;-;-;-
volunteer;gönüllü, gönüllü olmak;volunteer;volunteered;volunteered
vote;oy vermek, oy;vote;voted;voted
wage;ücret (maaş);-;-;-
wait;beklemek;wait;waited;waited
waiter;garson;-;-;-
wake;uyanmak;wake;woke;woken
walk;yürümek;walk;walked;walked
wall;duvar;-;-;-
want;istemek;want;wanted;wanted
war;savaş;-;-;-
warm;ılık, sıcak;warm;warmed;warmed
warn;uyarmak;warn;warned;warned
warning;uyarı;-;-;-
wash;yıkamak;wash;washed;washed
washing;çamaşır;-;-;-
waste;israf, israf etmek;waste;wasted;wasted
watch;izlemek, saat;watch;watched;watched
water;su, sulamak;water;watered;watered
wave;dalga, sallamak (el);wave;waved;waved
way;yol, tarz;-;-;-
we;biz;-;-;-
weak;zayıf;-;-;-
weakness;zayıflık;-;-;-
wealth;zenginlik;-;-;-
wealthy;zengin;-;-;-
weapon;silah;-;-;-
wear;giymek;wear;wore;worn
weather;hava durumu;-;-;-
web;ağ, örümcek ağı;-;-;-
website;web sitesi;-;-;-
wedding;düğün;-;-;-
Wednesday;Çarşamba;-;-;-
week;hafta;-;-;-
weekend;hafta sonu;-;-;-
weigh;tartmak;weigh;weighed;weighed
weight;ağırlık;-;-;-
welcome;hoş geldin, karşılamak;welcome;welcomed;welcomed
well;iyi;-;-;-
west;batı;-;-;-
western;batı (sıfat);-;-;-
wet;ıslak;-;-;-
what;ne;-;-;-
whatever;her ne;-;-;-
wheel;tekerlek;-;-;-
when;ne zaman;-;-;-
whenever;her ne zaman;-;-;-
where;nerede;-;-;-
whereas;oysa ki;-;-;-
wherever;nerede olursa olsun;-;-;-
whether;olup olmadığı;-;-;-
which;hangi;-;-;-
while;-iken;-;-;-
whisper;fısıldamak;whisper;whispered;whispered
white;beyaz;-;-;-
who;kim;-;-;-
whole;bütün;-;-;-
whom;kimi;-;-;-
whose;kimin;-;-;-
why;neden;-;-;-
wide;geniş;-;-;-
widely;geniş çapta;-;-;-
wife;eş (kadın);-;-;-
wild;vahşi;-;-;-
wildlife;yaban hayatı;-;-;-
will;-ecek (gelecek);-;-;-
willing;istekli;-;-;-
win;kazanmak;win;won;won
wind1;rüzgar;-;-;-
wind2;kıvrılmak, sarmak;wind;wound;wound
window;pencere;-;-;-
wine;şarap;-;-;-
wing;kanat;-;-;-
winner;kazanan;-;-;-
winter;kış;-;-;-
wire;tel, kablo;-;-;-
wise;bilge;-;-;-
wish;dilemek, dilek;wish;wished;wished
with;ile;-;-;-
within;içinde;-;-;-
without;olmadan;-;-;-
witness;tanık, tanık olmak;witness;witnessed;witnessed
woman;kadın;-;-;-
wonder;merak etmek;wonder;wondered;wondered
wonderful;harika;-;-;-
wood;odun, ahşap;-;-;-
wooden;ahşap (sıfat);-;-;-
wool;yün;-;-;-
word;kelime;-;-;-
work;çalışmak, iş;work;worked;worked
worker;işçi;-;-;-
working;çalışan;-;-;-
world;dünya;-;-;-
worldwide;dünya çapında;-;-;-
worried;endişeli;-;-;-
worry;endişelenmek;worry;worried;worried
worse;daha kötü;-;-;-
worst;en kötü;-;-;-
worth;değerinde;-;-;-
would;-erdi;-;-;-
wound;yara, yaralamak;wound;wounded;wounded
wow;vay canına;-;-;-
wrap;sarmak, paketlemek;wrap;wrapped;wrapped
write;yazmak;write;wrote;written
writer;yazar;-;-;-
writing;yazı, yazma;-;-;-
written;yazılı;-;-;-
wrong;yanlış;-;-;-
yard;avlu, yarda;-;-;-
yeah;evet;-;-;-
year;yıl;-;-;-
yellow;sarı;-;-;-
yes;evet;-;-;-
yesterday;dün;-;-;-
yet;henüz;-;-;-
you;sen, siz;-;-;-
young;genç;-;-;-
your;senin, sizin;-;-;-
yours;seninki, sizinki;-;-;-
yourself;kendin;-;-;-
youth;gençlik;-;-;-
zero;sıfır;-;-;-
zone;bölge;-;-;-
